type,meter_number,mpan_top,mpar,serial_number
gas,,,8824434503,8004105
gas,,,9119758608,G4A00260831501
gas,,,3285066907,M065A0164209A6
gas,,,2545983708,G4P71072281600
gas,,,69797501,M016A0567901A6
elec,1012367635906,04811205,,K09A 02542
elec,1012407522275,04807205,,I07EE01523
gas,,,9330640105,240027
elec,2700005053592,00845232,,NG19K00509
gas,,,3318793200,00949285
elec,1200032985708,01801902,,S06A 05958
gas,,,1304386907,75131183
elec,1800020686542,04005221,,CB06P00062
elec,2000004845614,03801126,,SJAC03786
elec,2332070644719,04811246,,WK86K08754
elec,2000000884665,03801126,,K91C14477
elec,1900005131625,03801320,,E15Z012981
gas,,,3906981104,G4K61904280413
elec,2000021017352,03801126,,K97C05877
elec,1012842964480,03136201,,E11Z60786
gas,,,3300134909,4685178
gas,,,9391293803,E016K0343620D6
elec,1100013436844,04811037,,39181579
elec,2000000698104,03801126,,K96C24610
gas,,,646361310,4247931
elec,1900033395506,04008120,,D15B005632
elec,1012592650424,03801201,,S88E200905
gas,,,21105907,M065A0063514A6
elec,2000050351042,03801126,,D00C91520
gas,,,8937321002,E016K1521615D6
elec,1900008006573,04811120,,E15Z014249
elec,1012477383851,04139205,,E12Z112181
gas,,,2987195903,M016A0092004A6
elec,1900005017225,04811120,,E11Z05481
gas,,,4203491007,383322
elec,2200023030850,03801110,,E11Z21978
gas,,,511034401,M016A0873314A6
elec,1200041752609,03801952,,E13Z026381
elec,2199993423166,03801200,,K17TR00031
elec,1012742780624,03500201,,D14W158850
elec,1012854284393,03801201,,E20UP04133
elec,2390000084061,04874246,,E11BG27017
elec,1012855212441,01801003,,Z02E026595
gas,,,3290252301,01286548
elec,1900019055550,03801320,,E15TB00745
gas,,,3335937105,E025K0267517D6
elec,2000057218950,04811129,,218285404
elec,2000027393241,00845453,,E07BG11797
elec,2000001751380,03801127,,K18W006448
elec,2000000073653,03801H09,,D09C00002
elec,2000001009808,00845453,,E06BG05797
gas,,,49327305,M065K0509011D6
gas,,,3327948406,G4K00458650001
elec,2000013119699,03801126,,D01C70640
elec,1200022068503,03801952,,16P2170965
gas,,,9188602805,G4A02371510701
elec,1012833011699,03801201,,S06EH73550
gas,,,2975351605,G4K00121851501
elec,1591025810332,04539205,,I06L72061
gas,,,2977983608,3118391
elec,1050000366158,03801201,,D03L79069
elec,1640000483986,06801034,,E14UP11553
elec,1800032060847,03801202,,PT18700454
gas,,,3297962705,G4K00069651401
gas,,,3293305109,E6S02703801054
elec,1200035556981,03801952,,K72A 00108
elec,2200014895115,03801110,,E10BG29754
elec,2200031842825,04807210,,K10UP03150
elec,1200026125731,03801956,,K12UP06708
elec,2000001715017,03801127,,E15TB00335
elec,1200034386849,03006204,,A13LB42061
gas,,,47026808,G4K00226881701
gas,,,8880488700,M025A0046700A6
elec,2000001834442,03105133,,P98C89416
elec,1900034060950,03801203,,Z0025870
elec,1460000813472,03801007,,E11Z42609
elec,2200031664481,03801110,,A12LB45295
elec,1012401637031,01801003,,18L2159378
gas,,,9364320709,M016A1410410A6
elec,1050000514542,00900200,,E12UP02263
gas,,,9334626008,M016A0888910A6
gas,,,9106426808,G4K00178831501
elec,1200025116842,04807956,,E17UP09772
elec,1900041181436,03802320,,P9913512
elec,1900006395650,04811120,,E11Z104837
elec,1800017833046,04632225,,2111P03913
elec,1012831529349,04807205,,Z06E035708
elec,1100012722200,03801013,,S08W029870
elec,1200033163253,03801952,,218286030
gas,,,72399302,705703S
elec,2700003761425,00845142,,E17Z000867
elec,2335371069017,03801240,,CL59K03219
elec,2351232063211,03801240,,212398632
elec,2000022618675,03801100,,S11R41945
elec,1700052226139,00900500,,E13BG01958
gas,,,9353079203,E025K0263117D6
elec,2200040440703,04807210,,E12TH00013
